name,prefecture,url,kencd,beginner_pct,intermediate_pct,advanced_pct,fetched_at
スノーパーク特集,,https://surfsnow.jp/special/snowpark/,10,30,40,30,2026-01-17T18:09:40
オロフレスキー場,,https://surfsnow.jp/guide/htm/r0665s.htm,10,30,40,30,2026-01-17T18:09:48
ニセコ東急 グラン・ヒラフ,,https://surfsnow.jp/guide/htm/r0148s.htm,10,41,27,32,2026-01-17T18:09:56
ルスツリゾート,,https://surfsnow.jp/guide/htm/r0331s.htm,10,30,40,30,2026-01-17T18:10:01
朝里川温泉スキー場,,https://surfsnow.jp/guide/htm/r0249s.htm,10,30,40,30,2026-01-17T18:10:04
名寄ピヤシリスキー場,,https://surfsnow.jp/guide/htm/r0621s.htm,10,20,70,10,2026-01-17T18:10:07
沼田町営高穂スキー場,,https://surfsnow.jp/guide/htm/r0636s.htm,10,40,30,30,2026-01-17T18:10:09
マウントレースイスキー場,,https://surfsnow.jp/guide/htm/r0213s.htm,10,20,40,40,2026-01-17T18:10:15
キャンモアスキービレッジ,,https://surfsnow.jp/guide/htm/r0632s.htm,10,40,45,15,2026-01-17T18:10:17
ニセコアンヌプリ国際スキー場,,https://surfsnow.jp/guide/htm/r0260s.htm,10,30,40,30,2026-01-17T18:10:19
ニセコモイワスキーリゾート,,https://surfsnow.jp/guide/htm/r1009s.htm,10,30,40,30,2026-01-17T18:10:27
豊富温泉スキー場,,https://surfsnow.jp/guide/htm/r0616s.htm,10,60,20,20,2026-01-17T18:10:35
リブマックスリゾート函館 グリー ンピア大沼スキーパーク,,https://surfsnow.jp/guide/htm/r0669s.htm,10,50,30,20,2026-01-17T18:10:37
北見若松市民スキー場,,https://surfsnow.jp/guide/htm/r0656s.htm,10,40,25,35,2026-01-17T18:10:39
国設南ふらのスキー場,,https://surfsnow.jp/guide/htm/r0650s.htm,10,30,50,20,2026-01-17T18:10:42
星野リゾート トマム スキー場,,https://surfsnow.jp/guide/htm/r0274s.htm,10,35,45,20,2026-01-17T18:10:46
富良野スキー場,,https://surfsnow.jp/guide/htm/r0118s.htm,10,40,40,20,2026-01-17T18:10:56
メムロスキー場,,https://surfsnow.jp/guide/htm/r0986s.htm,10,30,40,30,2026-01-17T18:11:06
サッポロテイネ,,https://surfsnow.jp/guide/htm/r0065s.htm,10,30,40,30,2026-01-17T18:11:08
カムイスキーリンクス,,https://surfsnow.jp/guide/htm/r0604s.htm,10,32,36,32,2026-01-17T18:11:15
茨城県  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?kencd=17,10,30,40,30,2026-01-17T18:13:09
